¿Cuál es tu género?,¿Cuál es tu edad?,¿Dónde vivís?,Si seleccionaste 'Otra provincia' ¿Podrías contarnos cuál?,¿Cuál es tu opinión sobre la cuarentena?,Si trabajás o estudiás ¿Pudiste hacerlo desde tu casa? ,Te dejamos este espacio para que nos cuentes más sobre tu actividad,¿Qué pensas de que se pueda volver a circular entre provincias?,Te dejamos este espacio para que nos cuentes qué pensas sobre la circulación entre provincias,Submitter,Submission Date
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 11:50:59 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Estoy de acuerda haciendo los 14 dias d cuarentena,,"6/29/2020, 12:16:11 AM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 1:27:58 AM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 2:00:43 AM"
Hombre,Más de 66 años,Otra provincia,Tucumán ,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Soy jubilado ,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Porque queremos visitar a nuestros hijos y nietos. ,,"6/29/2020, 7:20:13 AM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,jubilado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,esencial por razones comerciales,,"6/29/2020, 7:24:39 AM"
Mujer,Entre 36 y 45 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 9:19:03 AM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 9:37:25 AM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Jubilado,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Se debe controlar a todos y bien,,"6/29/2020, 9:43:42 AM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,,Desocupdo por dicapasidad,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Todavia no hay que quedarce en casa,,"6/29/2020, 9:55:35 AM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo","Empleado adm sin máquina en casa , varios compañeros trabajan ",Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Aún no lo  creo prudente porque el virus esta en circulación ,,"6/29/2020, 10:14:21 AM"
Hombre,Más de 66 años,Otra provincia,Santa Fe,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Jubilado,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Es responsabilidad de cada uno cuidarnos. Estos podrido que el gobierno de inútiles nos mantengan encerrado. Y ellos hacen los que quieren,,"6/29/2020, 11:13:23 AM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 12:50:25 PM"
Hombre,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Soy Jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Creo que todavia debe ser controlado,,"6/29/2020, 1:05:42 PM"
Hombre,Más de 66 años,Otra provincia,Chubut,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Jubilado solidario,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Si se controla no hay problemas,,"6/29/2020, 1:58:12 PM"
Otro,Entre 26 y 35 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",NO LA DIGO,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,ES MUY NECESARIA PARA EL EJERCICIO DE MI PROFESION. SEPAN LEER ENTRE LINEAS.,,"6/29/2020, 2:00:04 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 2:25:32 PM"
Hombre,Más de 66 años,Otra provincia,Cordoba,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Soy jubilado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"Creo que la circilacion debe plantearse entre ciudades y pueblos de diferentes ciudades en donde el c.virus este controlado, generalmente ciudsdes de menor cantidad de habitantes. No se deben compar Buenis Aires con la ciudad donde resido que tiene 22 mil habitantes. Las medidas deben ser tomadas con inteligencia, sin mezckar los temas políticos y de manera integral. Desde el punto de vista  sanitario global; económico  y social.",,"6/29/2020, 3:03:30 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial","Maestro mayor de obras, hago instalaciones en viviendas",Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Seamos respetuosos de las decisiones el sr presidente... Sabe más que nadie el porqué de cada medida tomada... No es un neoliberal sin cerebro y con dinero,,"6/29/2020, 3:26:35 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Estudio arte en cerámica y lo hago desde mi casa los trabajos con la guía de los profesores,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Teniendo las medidas adecuadas,,"6/29/2020, 3:30:04 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Tomando las precauciones necesarias me parece bien.,,"6/29/2020, 3:51:46 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Menos Bs As. Y Chaco.Todas,,"6/29/2020, 4:05:07 PM"
Hombre,Más de 66 años,Otra provincia,santa fe,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,jubilado,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,si se lleva a cabo debe establecerse una vigilia de 14 dias,,"6/29/2020, 4:36:44 PM"
Hombre,Más de 66 años,Otra provincia,Santa Fe,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo","Chofer de taxi, 68 años con EPOC.",Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,No debe haber circulación.,,"6/29/2020, 4:58:10 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,"Soy Ingeniero jubilado, estoy cuidándome en cuarentena, mas por una cuestión de edad que por alguna otra razón, de cualquier manera me resulta sumamente tedioso por la extensión y la imprevisión y falta de pericia puestas de manifiesto en el manejo del gobierno.",Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"Estimo que si tuviéramos una sociedad educada y responsable, sería factible la libre circulación por todo el país respetando las normas de convivencia y distanciamiento. Como estas condiciones no se cumplen dudo que se pueda reanudar completamente la circulación.",,"6/29/2020, 5:08:15 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Todavía no debe haserce.,,"6/29/2020, 5:34:55 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Entre Rios.,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Jubilado.,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Hay provincias que no toman conciencia de la gravedad.,,"6/29/2020, 5:49:53 PM"
Hombre,Más de 66 años,Otra provincia,MENDOZA,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Jubilado,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,TODABIA NO TAL VES 1 MES MAS,,"6/29/2020, 6:07:35 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,"Soy biólogo, docente universitario, jubilado",Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"Con controles eficientes, no habría problemas ",,"6/29/2020, 6:11:42 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Jubilado,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 6:18:31 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Cordoba,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Soy jubilado docente ,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Es fundamental,,"6/29/2020, 6:23:04 PM"
Hombre,Más de 66 años,Otra provincia,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Soy jubilado y ago tareas en mí casa ,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Tomando las precauciones se puede circular ,,"6/29/2020, 7:36:21 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Santa fe,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",Reparto de panificación,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Circulación del virus,,"6/29/2020, 8:23:46 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial","diagnosticos agropecuarios, laboratorio integral",Estoy muy de acuerdo con que se pueda volver a circular entre provincias,ES NECESARIO PARA TENER MAS PRODUCCION AGROPECUARIA,,"6/29/2020, 8:23:57 PM"
Hombre,Entre 56 y 65 años,Otra provincia,ENTRE RIOS,La cuarentena ya no es tan necesaria,No trabajo ni estudio,jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"esta bien, con controles estrictos",,"6/29/2020, 8:24:52 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",Profesor ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Por el.momento no se puede,,"6/29/2020, 8:34:25 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Empleado empresa de servicios,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Muy peligroso,,"6/29/2020, 9:08:45 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Jubilado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Con los cuidados necesarios es posible,,"6/30/2020, 7:07:17 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 7:24:44 PM"
Hombre,Entre 56 y 65 años,Otra provincia,rio negro,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,jardineria (temporada),Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"y es peligroso....segun dicen cuando mas gente circule el virus hace su cometido, debemos seguir aislado hasta fin de año mas o menos ..endurecer las medidas....y despues d  eso mentalizar a la poblacion para aprender a convivir con el virus y aprender a vivir de otra manera (ejemplo efectuar pagos de servicios online....compras online.....estudios online....)",,"6/30/2020, 8:34:39 PM"
Hombre,Entre 36 y 45 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",Soy recolector de residuos.,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Consideró que puede haber circulación entre provincias que tienen controlado el virus.,,"6/30/2020, 8:46:44 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 8:48:04 PM"
Hombre,Más de 66 años,Otra provincia,San luis,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",Comercio,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Unicamente entre provincis sin circulacion viral y mismo protocolo.,,"6/30/2020, 8:49:07 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Río negro ,La cuarentena ya no es nada necesaria,,Empleado público administrativo ,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"Si entre esas provincias no hay contagio no es necesario que prohiba tanto , con somo cuidarse estaría bien, pero si poner cordón sanitario por si hay otra provincia con contagio, tampoco creo necesario que lo que pase en buenos Aires lo tengan que sufrir las demas provincias del interior del.pais que si se cuidaron e hicieron su cuarentena a rajatabla   ",,"6/30/2020, 9:11:04 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,"Por la edad estoy licenciado en la empresa , servicio de correo.",Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,No estoy de acuerdo,,"6/30/2020, 9:11:52 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Soy jubilada ,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 9:47:24 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Santa fe,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Sostengo que se puede circular de acuerdo al protocolo,,"6/30/2020, 10:11:01 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 10:34:50 PM"
Hombre,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",administriva,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,NO DEBE HABER HABER  CIRCULACION ENTRE PROVINCIAS,,"6/30/2020, 10:39:22 PM"
Hombre,Más de 66 años,Otra provincia,Cordoba,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",Trabajo en termoformado plastico,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Que la gente cuidandoce podria viajar con controles en las entradas a las ciudades,,"6/30/2020, 11:57:06 PM"
Hombre,Más de 66 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"7/1/2020, 1:02:28 AM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"7/1/2020, 2:23:29 AM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Mecanico de auxilios,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Si circulamos es mas facil transmitir el virus,,"7/1/2020, 2:37:54 AM"
Hombre,Más de 66 años,Otra provincia,Córdoba ,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Jubilado ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Hay que esperar cuando pase todo ,,"7/1/2020, 3:01:25 AM"
Hombre,Entre 56 y 65 años,Otra provincia,Río negro,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"7/1/2020, 6:17:18 AM"
Hombre,Más de 66 años,Otra provincia,Formosa,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Jubilado desocupado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Circular con controles,,"7/1/2020, 8:05:32 AM"
Hombre,Entre 56 y 65 años,Otra provincia,Salta,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,No tengo,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,La REPATRIACION de personas es muy peligrosa. En Salta empezaron a surgir casos desde que empezaron  a llegar repatriados,,"7/1/2020, 9:22:35 AM"
Hombre,Más de 66 años,Otra provincia,Santiago del Estero ,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Jubilado ,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Facilitaria el movimiento comercial sobre todo el turismo,,"7/1/2020, 9:26:43 AM"
Hombre,Más de 66 años,Otra provincia,Corrientes,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Estoy totalmente de acuerdo. BASTA DE CUARENTENA ABSURDA Y DICTATORIAL,,"7/1/2020, 9:35:04 AM"
Hombre,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Jubilado,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"7/1/2020, 9:35:45 AM"
Hombre,Más de 66 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,No trabajo,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Que está bien la circulación entre provincias,,"7/1/2020, 10:33:26 AM"
Hombre,Más de 66 años,Otra provincia,ENTRE RIOS,La cuarentena ya no es tan necesaria,No trabajo ni estudio,JUBILADO,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"7/1/2020, 11:02:08 AM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,No trabajo ni estudio,,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"7/1/2020, 11:13:15 AM"
Hombre,Más de 66 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Jubilado,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Solo circulación entre provincias sin contaminación del virus,,"7/1/2020, 11:57:18 AM"
Hombre,Entre 56 y 65 años,Otra provincia,Misiones,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",Cuentapropista.,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Transporte de lo necesario.,,"7/1/2020, 12:07:04 PM"
Hombre,Entre 56 y 65 años,Otra provincia,Chubut,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Trabajé para el estado.,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"Las provincias con poca circulación viral deben preservar a sus habitantes, es absurdo que por un viaje al AMBA una persona se contagie y luego transmita el virus a una importante cantidad de gente. Se deben controlar más las mercaderías salidas del AMBA y establecer un sistema de desinfección eficaz.",,"7/1/2020, 12:26:41 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,bs as,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",profesional. ,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"es necesario y con controles es suficiente, si estamos abultando la epidemia para favorecerse los politicos tras sus juicios , culpar a otros y encarcelarlos y a nosotros recluidos para no hacer banderasos. por le temen y no puedan ejecutar lo programado para salvarse  y llevar al pueblo a la miseria. un 50% de la poblacion tiene que vivir en la pobreza el otro 40 % endeudado para poder dominarlos y un 10 % aprox son los que pueden vivir y gobernar ES LAMENTABLE A LO QUE NOS LLEVAN, no se olviden que ellos quieren ser parte del grupo PUEBLA. ",,"7/1/2020, 12:53:50 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,Chubut,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Jubilado,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Todavía no estamos capacitados para circular entre provincia por nuestra idiocincracia,,"7/1/2020, 1:28:08 PM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",Comerciante,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Con el debido cuidado la circulación tiene que ser libre,,"7/1/2020, 2:06:29 PM"
Hombre,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",Comerciante,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Sólo para trasporte de mercadería esencial. Nada de turismo.,,"7/1/2020, 2:08:10 PM"
