¿Cuál es tu género?,¿Cuál es tu edad?,¿Dónde vivís?,Si seleccionaste 'Otra provincia' ¿Podrías contarnos cuál?,¿Cuál es tu opinión sobre la cuarentena?,Si trabajás o estudiás ¿Pudiste hacerlo desde tu casa? ,Te dejamos este espacio para que nos cuentes más sobre tu actividad,¿Qué pensas de que se pueda volver a circular entre provincias?,Te dejamos este espacio para que nos cuentes qué pensas sobre la circulación entre provincias,Submitter,Submission Date
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online","Psicóloga, atiendo por video llamada.",Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"Mientras se mantengan medidas de precaución en cuanto a circulación, en algunos lugares tal vez podría hacerse.",,"6/29/2020, 8:59:18 AM"
Mujer,Entre 56 y 65 años,Otra provincia,La rioja,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Soy jubilada,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Es una necesidad,,"6/29/2020, 9:14:12 AM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online","Soy promotora de Herbalife, pinto y escribo. Vivo sola y estoy harta creo que esto se usa politicamente.Cosa que me indigna no saben que hacer es una braza en las manos del presidente",Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Conlos cuidados es necesari,,"6/29/2020, 9:39:44 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Jubilada,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,No estoy de acuerdo que circulen desde provincias que hay virus a otras donde  no hay,,"6/29/2020, 9:43:37 AM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online","Teletrajo, mediante wasap, mails, zoom, meet, llamadas telefonicas",Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Solo tendría que ser entre provincias sin o con pocos contagios. El resto no. ,,"6/29/2020, 9:46:33 AM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,jubilada,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Entre privincias que no tengan circulación viral con todos los protocolos,,"6/29/2020, 10:27:24 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",Fotografia,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Si están menos complicadas que circulen.,,"6/29/2020, 11:04:39 AM"
Mujer,Más de 66 años,Otra provincia,La pampa ,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Jubilada ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Mal,,"6/29/2020, 11:11:38 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Porque seguimos en cuarentena obligatoria ,,"6/29/2020, 12:05:23 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Soy abogada y la Justicia solo lo urgente y la parte remota en Pcia de BsAs no basta.,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Creo que todavía no están las condiciones,,"6/29/2020, 12:10:49 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",Construccion,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Excelente,,"6/29/2020, 12:12:14 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Jubilada,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Debe haber control,,"6/29/2020, 12:12:52 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Trankilaestaee,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Muy mal,,"6/29/2020, 12:43:54 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 12:54:49 PM"
Mujer,Más de 66 años,Otra provincia,Santa Fe,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,AMA DE CASA,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,SE LLEVA EL VIRUS DE UNA A OTRA.,,"6/29/2020, 1:23:17 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Soy anticurentena Son Nefastos!!!!,,"6/29/2020, 1:40:06 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Santa Fe,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Jubilada,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 1:43:51 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Estoy jubilada y estoy cursando un prof.de pintura decorativa para poder incrementar mis ingresos dando clases,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Hay probincias libres de circ.de virus y podrian volver atras...,,"6/29/2020, 1:47:58 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",Salud ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,"Existen aquellas que no presentan casos, entonces deberían seguir así ",,"6/29/2020, 2:41:28 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Trabajo y estudio.,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"Muy mal,  tiene que haber respeto .",,"6/29/2020, 2:53:38 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Tierra del Fuego,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Jubilada,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Corredores viales entre pcias sin covid 19. Difícil en TDF ya q debemos transitar x Chile para reingresar al país. Por lo q insisto nuestro tránsito debe ser corredor vial hasta Santa Cruz y allí a pasear x esa bella pcia. Nada más! ,,"6/29/2020, 2:56:11 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Cordoba,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Respetando los controles y protocolos ,,"6/29/2020, 3:13:01 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",Comerciante ,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Circular  con medidas  preventivas ,,"6/29/2020, 3:39:14 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 3:46:50 PM"
Mujer,Más de 66 años,Otra provincia,Santa Fe ,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 4:32:45 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Entre Rios,La cuarentena ya no es tan necesaria,No trabajo ni estudio,"Ama de casa ,jubilada ",Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Solamente entre provincias no tan infectadas como el amba,,"6/29/2020, 5:20:40 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 5:24:41 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Jubilada,,,,"6/29/2020, 5:32:48 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Creo que hasta que no se cuente con vacunas o alguna cura seria muy peligroso el movimiento de personas ,,"6/29/2020, 5:33:28 PM"
Mujer,Más de 66 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"Con los debidos recaudos, es necesario retornar a la normalidad. La economía está destruida y va a generar tantos o mas problemas que el Covid. La ventaja es que la gente deprimida, desalentada, arruinada, va a morir, pero sin saturar el sistema de salud de la provincia de Buenos Aires que es lo que verdaderamente el gobierno está tratando de disimular.",,"6/29/2020, 6:20:38 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Cordoba,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Asesoro directoras,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 7:57:22 PM"
,Entre 36 y 45 años,Otra provincia,La pampa,La cuarentena ya no es nada necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 8:06:49 PM"
Mujer,Entre 56 y 65 años,Otra provincia,San Luis ,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",Trabajo desde abril,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Si son zonas controladas se puede,,"6/29/2020, 8:20:37 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,jubilada,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 8:23:30 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,"Si La GENTE TOMARA MAS CUIDADO PARA SI Y PARA LOS DEMÁS,LA CUARENTENA SERÍA MENOS ESTRICTA,VIVO EN ZONA COMERCIAL,Y VEO MUCHOS SIN BARBIJO,¿¿ DESCREÍDOS O IGNORANTES ??",,"6/29/2020, 8:29:44 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",Soy modistA,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,No se debe circular hasta que. Terminen los contagios . Vivo en una zona en fase 5 y no quiero que vengan a contagiarnos,,"6/29/2020, 8:33:46 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,Provincia de Buenos Aires ,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Hago viandas desde mi casa,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Yo vivo en una ciudad que estamos en Face 4 y en pocos días si seguimos así face 5,,"6/29/2020, 8:47:50 PM"
Mujer,Más de 66 años,Otra provincia,Rio Negro,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Jubilada ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Más contagios ,,"6/29/2020, 8:57:56 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,SOY JUBILADA   ,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,SI SE PODRIA CON TODOS LOS PROTOCOLOS QUE HAY PERO SI HAY QUE CUIDARSE ,,"6/29/2020, 9:13:21 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Ama de casa,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,No tiene que haber,,"6/29/2020, 9:20:42 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Tucumán,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Jubilada como docente universitaria,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Depende del nivel de casos de cada provincia y del control sanitario de las mismas.,,"6/29/2020, 9:38:06 PM"
Mujer,Entre 56 y 65 años,Otra provincia,MENDOZA ,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",ENFERMERA ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Si hay circulación entre provincias tiene que haber un control muy estricto ,,"6/29/2020, 9:54:42 PM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Jubilada,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,"En qué quedamos?Si covid 19 es tan contagioso y el epicentro es el AMBA,y hay provincias que están libres del virus ,es inadmisible llevar el contagio pues se puede ser asintomático. Esto es para TODOS políticos incluidos .Bendiciones ",,"6/29/2020, 10:08:14 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,No estoy  trabajando pero soy terapeuta,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,No me gusta,,"6/29/2020, 10:29:20 PM"
Mujer,Más de 66 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Tomando las precauciones necesarias creo que ya tienen que aflojar un poco pero creo que acá hay otra cosa que no tienen un plan concreto van improvisando sobre la marcha 100 días y no saben que camino tomar cuando arrasen con el país encuentran la salida,,"6/29/2020, 11:04:26 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Santa Fe,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Soy jubilada,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Es necesario para activar la economía del país. Hay que bloquear Buenos Aires Ciudad y conurbano. El resto libre!!!,,"6/29/2020, 11:24:52 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Santa fe,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Soy jubilada farmacéutica y algunos días debo ir a la farmacia de mi hija a darle una mano,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Debe restringirse la circulación para casos muy específicos y con los controles limitrofes pertinentes,,"6/30/2020, 12:38:07 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Ama de casa ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Es necesaria ,,"6/30/2020, 6:25:18 AM"
Mujer,Más de 66 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 7:26:53 AM"
Mujer,Más de 66 años,Otra provincia,Santa fe,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",Vendo ropa,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Hay que esperar un tiempo mas,,"6/30/2020, 8:00:21 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,"Soy una pobre Jubilada, ",Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"Esta bien mientras no entren extranjeros contaminados y hagan entre provincias los controles necesarios, sino no salimos mas de la cuarentena.",,"6/30/2020, 8:39:50 AM"
Mujer,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Soy ama de casa y ya estoy jubilada,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Es peligroso ya qe de esa manera el virus circula mas.,,"6/30/2020, 9:39:44 AM"
Mujer,Más de 66 años,Otra provincia,Córdoba ,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Prefiero no hacerlo ,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 10:21:47 AM"
Mujer,Entre 56 y 65 años,Otra provincia,Santa fe,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 10:40:22 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 10:44:03 AM"
Mujer,Más de 66 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Estoy jubilada y tengo consultantes con PNL que ahora no puedo atender,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Es un derecho constitucional y debe respetarse.,,"6/30/2020, 11:41:45 AM"
Mujer,Entre 56 y 65 años,Otra provincia,Tierra del Fuego ,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Soy  jubilada,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,"Es difícil la circulación,  si hay  provincias que tiene muchos casos, es imposible",,"6/30/2020, 12:19:52 PM"
Mujer,Más de 66 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 12:30:36 PM"
