¿Cuál es tu género?,¿Cuál es tu edad?,¿Dónde vivís?,Si seleccionaste 'Otra provincia' ¿Podrías contarnos cuál?,¿Cuál es tu opinión sobre la cuarentena?,Si trabajás o estudiás ¿Pudiste hacerlo desde tu casa? ,Te dejamos este espacio para que nos cuentes más sobre tu actividad,¿Qué pensas de que se pueda volver a circular entre provincias?,Te dejamos este espacio para que nos cuentes qué pensas sobre la circulación entre provincias,Submitter,Submission Date
Mujer,Entre 18 y 25 años,Otra provincia,La Rioja,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Soy docente en nivel primario en zona rural. Se complica con el tema de las clases online porque en el lugar que está ubicada la escuela no hay internet ni señal de celular. Yo realizó cuadernillos con actividades y  se los entrego a mis alumnos ,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Depende de las provincias que sean. Si no hay casos de covid me parece que si se puede hacer. En caso de que hayan casos que no se lo haga.,,"6/28/2020, 10:38:16 PM"
Mujer,Entre 26 y 35 años,Otra provincia,Santa fe,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:42:30 PM"
Mujer,Entre 18 y 25 años,Otra provincia,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:50:10 PM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Estoy buscando trabajo..,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:51:26 PM"
Mujer,Menor de 18 años,Otra provincia,corrientes,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:57:23 PM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Estudiante ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 11:04:16 PM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 12:14:59 AM"
Mujer,Entre 36 y 45 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Nada pienso se tiene que hacer las cosas como se debe ser,,"6/29/2020, 12:37:18 AM"
Hombre,Entre 18 y 25 años,Otra provincia,Cordoba ,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 1:05:34 AM"
Mujer,Entre 18 y 25 años,Otra provincia,Rio gallegos santa cruz,La cuarentena sigue siendo muy necesaria,,,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Pienso que por el momento de los contagios que ahi no deberian habilitar viajes en avion ni micros ni permitir salidas hasta que baje el pico de muertes y contagios ,,"6/29/2020, 5:31:38 AM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online","Soy secretaria de un abogado que cobra deudas. Es un trabajo horrible y más en esta época. Lo estamos haciendo de forma remota, enviando las boletas de pago por mail. En cuanto al estudio, estoy cursando virtual las ""practicas de enseñanza y residencia docente""... Unas prácticas muy raras. ",Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"Me parece muy bien que se permita la circulación. Con los controles pertinentes y certificados médicos que aseguren que la persona que va a viajar no de encuentra infectada, me parece que está muy bien. Si yo tuviera la posibilidad de irme a otra provincia, creo que no me la deberían negar porque así como se está tratando de evitar que personas infectadas salgan del AMBA también se está negando la posibilidad de que personas sanas se alejen del epicentro de contagios. ",,"6/29/2020, 8:39:19 AM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 9:48:57 AM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online","Estudio desde el 2019, Profesorado de Educación Inicial, en el Instituto de Formación Docente y Técnico  N°167.  Para la cursada virtual, se armó una plataforma compuesta por aulas virtuales, en las cuales cada docente sube las actividades y nosotras, las alumnas, luego subimos las respuestas.  Realizamos encuentros virtuales a través de Zoom y Meet.",Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 11:47:24 AM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,Zárate ,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 1:15:51 PM"
Mujer,Entre 26 y 35 años,Otra provincia,Misiones ,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 2:42:06 PM"
Mujer,Entre 18 y 25 años,Otra provincia,Cordoba,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 3:13:36 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",Mi trabajo es en otra provincia. ,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Si toman los recaudos y hacen los test estoy muy de acuerdo.,,"6/29/2020, 3:39:06 PM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",Soy vendedora ambulante vivo el día a día si no trabajo no como ni mi hijo ni yo ,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Pienso que ya es demasiado tiempo el que llevamos encerrados no todos tenemos un sueldo en blanco para quedarnos en casa lamentablemente somos muchos los que vivimos el día a dia y La Plata no alcanza en mi caso con 10 mil pesos mes por medio no vivo pago alquiler y luz y no me alcanza no quiero más bobos quiero salir a trabajar y dejar de esconderme con la policía como si fuera una delincuente cuando no lo soy salgo a laburar para llevarle el plato de comida a mi hijo a la mesa ,,"6/29/2020, 3:50:00 PM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 4:50:33 PM"
Mujer,Entre 18 y 25 años,Otra provincia,Coronel suarez ,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,,,,"6/29/2020, 5:31:23 PM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 7:52:59 PM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 7:29:10 PM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"Estoy en desacuerdo porque hay provincias que no tienen tantos casos positivos de covid y otras si al fomentar la circulación abra más casos positivos de covid, nuestro sistema de salud se vería más afectado de lo que está.  Sobre todo por la gran población de personas humildes y en situación de calle que se les dificulta más cumplir con todas las medidas preventivas. ",,"6/30/2020, 7:49:40 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 7:54:32 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,,Jubilada,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Este mal bicho seguirá circulando. La patria es el otro,,"6/30/2020, 9:04:19 PM"
Mujer,Entre 18 y 25 años,Otra provincia,Chubut,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 9:29:47 PM"
Mujer,Entre 36 y 45 años,Provincia de Buenos Aires,Ezeiza,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Cocina en una escuela del estado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Es mucho menor pero cada provincia debe estar cerrada al resto para evitar transladar el virus,,"6/30/2020, 9:30:21 PM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 9:44:09 PM"
Mujer,Entre 26 y 35 años,Otra provincia,Chaco ,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Soy docente ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Hasta que no se mejore la situación no es necesario ,,"6/30/2020, 10:21:14 PM"
Mujer,Entre 18 y 25 años,Otra provincia,Argentina,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 10:47:18 PM"
Prefiero no contestar,Entre 26 y 35 años,Otra provincia,Mendoza,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Doy clases sobre preparación integral para la mapaternidad. ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,"Por el momento diria que no a la libre circulación de cualquier persona. Por supuesto que las personas que trabajan afuera y van y vienen, ya sean camioneros, petroleros, gendarmes, que su profesión sea trabajar lejos o estar en rutas, no es problema, ya que estan trabajando y mueven al pais, pero si no es necesario viajar deberian esperar un poco más...",,"6/30/2020, 11:08:22 PM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 11:31:49 PM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/30/2020, 11:54:49 PM"
Mujer,Entre 46 y 55 años,Otra provincia,Sarmiento chubut,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Bueno soy ama de casa trabajamos en familia y sobrevivimos de lo que vendemos ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,"La verdad lo que pienso en estos momentos  es que no tendríamos,  todavía tener confianza por la irresponsabilidad que hay entre la  ciudadanos y gobernante ",,"7/1/2020, 12:09:32 AM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Me enoja que el lugar donde estudió no nos manden exámenes virtuales y es mi último año de carrera y es super difícil hacerlo a través de un celular ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,En la costa hacen lo que quieren nunca respetaron la cuarentena y uno denuncia y nadie nos responde ,,"7/1/2020, 12:58:44 AM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Soy estudiante de ultimo año de medicina en la Universidad de Buenos Aires. Se me dificulta poder recibirme a causa de que la casade estudios propone como obligatoriedad los finales de manera presencial. Mi trabajo es atencion domiciliaria pediatrica y continua su normalidad,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"7/1/2020, 1:32:58 AM"
Mujer,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online","Estudio de forma virtual, el cbc de bioquímica. Cursando 3 materias, es difícil sin clases, pero no es imposible. Y lo prefiero mil veces a tener que salir en esta situación. Además, contemplando la misma, el sistema del cbc se ha vuelto flexible y generoso con respecto a los regímenes de evaluación y otras cuestiones. Eso demuestra muy claramente que existen formas de adaptarse y sobrellevar todo tipo de eventos. ",Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"Por el momento. La circulación sobre provincias sería insensata. Si se trata de disminuir los contagios, es necesario cerrar fronteras y, sobre todo supervisar los pasajes (no solo entre provincias, sino también entre distritos). La cuarentena es crucial, pero el Estado debe asegurarse de que se cumpla, de supervisarnos. ",,"7/1/2020, 9:50:40 AM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"7/1/2020, 10:07:38 AM"
Mujer,Entre 18 y 25 años,Otra provincia,SAN LUIS ,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"7/1/2020, 10:51:15 AM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Soy tatuadora trabajo x mi cuenta y por seguridad no estoy trabajando,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,No me parece bien ya que no está controlado el virus y permitir que que se pueda ingresar a las provincias va hacer que haya mucho más casos de contagió,,"7/1/2020, 12:53:36 PM"
Mujer,Entre 18 y 25 años,Otra provincia,Santa Fe,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"7/1/2020, 1:34:36 PM"
Mujer,Entre 18 y 25 años,Otra provincia,Misiones ,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"7/1/2020, 4:10:42 PM"
Hombre,Entre 46 y 55 años,Otra provincia,misiones,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",empleado comercio ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,estre las q tienen controlado el virus si no ,,"7/2/2020, 6:37:19 AM"
Hombre,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",No puedo trabajar ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Asta bien ,,"7/2/2020, 9:46:15 AM"
Hombre,Entre 26 y 35 años,Otra provincia,Tucuman,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial","Soy empleado policial y trabajo todos los días y desde que empezó todo, estoy afectado constantemente al trabajo ",Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"7/2/2020, 9:49:23 AM"
Hombre,Entre 18 y 25 años,Provincia de Buenos Aires,Buenos aires provincia,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Estudio online ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"7/2/2020, 10:31:50 AM"
Hombre,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"7/2/2020, 12:13:45 PM"
Hombre,Entre 18 y 25 años,Otra provincia,La  pampa,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Actretismo,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Nada,,"7/2/2020, 12:59:38 PM"
Hombre,Entre 26 y 35 años,Otra provincia,Chaco,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"7/2/2020, 1:11:30 PM"
Hombre,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",Estudio desarrolllador react native,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"7/2/2020, 1:25:12 PM"
Hombre,Entre 18 y 25 años,Otra provincia,La pamap,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",En el campo,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Acá no tenemos covid 19 sería una lastima q llegue xq abran las provincias,,"7/2/2020, 2:16:11 PM"
Hombre,Entre 18 y 25 años,Ciudad Autónoma de Buenos Aires,Berazategui ,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"7/2/2020, 4:27:25 PM"
Hombre,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"7/2/2020, 8:55:43 PM"
Hombre,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",Trasportista ,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"7/2/2020, 9:02:52 PM"
Hombre,Entre 26 y 35 años,Otra provincia,Villa urquiza ,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"7/2/2020, 9:11:49 PM"
Hombre,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",Compra venta canje deliveri,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"7/2/2020, 9:41:18 PM"
Hombre,Entre 26 y 35 años,Otra provincia,Entre Ríos ,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Estoy buscando trabajo ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,No me parece justo. Porque había provincias que tenían baja circulación y por contactos con otra provincia ej bs as nos perjudicó a nosotros ,,"7/2/2020, 11:37:38 PM"
Hombre,Entre 18 y 25 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Gimnasia y changarines,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,No se deberia pero la humanidad no entiende,,"7/2/2020, 11:56:00 PM"
Hombre,Entre 18 y 25 años,Otra provincia,Jujuy,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",Utilizar la pc para estudiar,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Solo transportes de mercadería nada más ,,"7/3/2020, 12:52:15 AM"
Mujer,Entre 26 y 35 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",Tenia un negocio relacionado con cumpleaños y eventos. Ademas de estudiar cosa que tuve que dejar por la dificultad ,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Con los controles necesarios no deberia existir problema,,"7/3/2020, 2:17:53 AM"
Hombre,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"7/3/2020, 9:18:58 AM"
Hombre,Entre 18 y 25 años,Otra provincia,Entre Ríos,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Desarrollo de Software,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Falta un poco más de tiempo todavía,,"7/3/2020, 9:52:38 AM"
Hombre,Menor de 18 años,Otra provincia,Santa fe,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"7/3/2020, 10:22:06 AM"
Hombre,Entre 18 y 25 años,Otra provincia,Provincia de Córdoba,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"7/3/2020, 11:02:19 AM"
Hombre,Entre 26 y 35 años,Otra provincia,ENTRE RIOS,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Agente de viajes - Docente universitario - Estudiante de Magister. ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Tiene que haber protocolos altos de detección y aislamiento de posibles casos. Solo debe hacerse en provincias sin COVID-19. ,,"7/3/2020, 11:53:28 AM"
Hombre,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"7/3/2020, 12:13:01 PM"
Hombre,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",Bueno mi opinion seria que hay mucha gente que esta varado aca en buenos aires por la cuarentena del cierre de fronteras seria lindo para las personas que tengan visa podrian cruzar la fontera con Bolivia que hay viajes internacionales para las personas que tengan visa ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Estaria bien y tambien el pase de la frontera para las personas que tengan visa ,,"7/3/2020, 12:23:28 PM"
Hombre,Entre 18 y 25 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"7/3/2020, 12:42:33 PM"
