¿Cuál es tu género?,¿Cuál es tu edad?,¿Dónde vivís?,Si seleccionaste 'Otra provincia' ¿Podrías contarnos cuál?,¿Cuál es tu opinión sobre la cuarentena?,Si trabajás o estudiás ¿Pudiste hacerlo desde tu casa? ,Te dejamos este espacio para que nos cuentes más sobre tu actividad,¿Qué pensas de que se pueda volver a circular entre provincias?,Te dejamos este espacio para que nos cuentes qué pensas sobre la circulación entre provincias,Submitter,Submission Date
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 9:39:59 PM"
Mujer,Entre 56 y 65 años,Otra provincia,San juan ,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo","En mi casa , cuarentena,  leo mucho , libros  de mis gustos",Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Hasta que no haya  una vacuna  debemos  cuidarnos ,,"6/28/2020, 10:02:26 PM"
Mujer,Entre 46 y 55 años,Otra provincia,Chubut,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",Nada,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Es necesario,,"6/28/2020, 10:11:48 PM"
Mujer,Entre 26 y 35 años,Otra provincia,Santa fe,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",Cuido niños y abuelitos ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"Cada uno debe circular  en su provincia , para no desparramar el virus.",,"6/28/2020, 10:12:30 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",Auxiliar docente,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"Tomando los recaudos necesarios no hay problema, mucha gente necesita trabajar o reencontrarse con sus afectos. No se puede vivir en cuarentena eterna.",,"6/28/2020, 10:22:18 PM"
Mujer,Entre 36 y 45 años,Otra provincia,rio negro,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,trabajaba enn un kiosco 4 hs...y cuando se dicto la cuarentena mequede sin trabajo.. ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,creo q no es conveniente hasta q se reduscan los contagios ,,"6/28/2020, 10:45:14 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:48:26 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",Mitad del trabajo online mitad presencial,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Circulación entre las q no tengan covid,,"6/28/2020, 10:51:28 PM"
Mujer,Entre 46 y 55 años,Otra provincia,Misiones,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Tengo discapacidad permanente,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 10:56:25 PM"
Mujer,Entre 46 y 55 años,Otra provincia,Córdoba ,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,"Estoy varada en Buenos Aires,  vivo en Córdoba y espero a que esto se solucione de alguna forma para regresar a Carlos Paz. ",Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,"Tendríamos que ser responsables cumplir con la distancia social,  el tapabocas,  y las indicaciones,  realmente no creo en la responsabilidad de la gente.  Prefiero cuidar a Córdoba ",,"6/28/2020, 11:14:26 PM"
Mujer,Entre 36 y 45 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/28/2020, 11:19:38 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"las provincias tienen distintas necesidades económicas y distintos lugares donde se pueden visitar si cumplen con el distanciamiento y los protocolos sanitarios, las ciudades tienen el conglomerado mayor donde el problema de contagio es mayor porque la gente tiene menos tendencia a cumplir estas reglas.",,"6/28/2020, 11:53:20 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,DISCAPACIDAD 80%,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"Que no pueden ser tan ingenuos en la responsabilidad ciudadana, el Facebook es la clara prueba, fiestas más de diez personas, supermercados atestados, es vacaciones 2019. Etc la irresponsabilidad y falta de control me aterra sigo aislada mas de 110 dias, soporto trabajen en cualquier horario de lunes a.lunes, pleno barrio residencial, lavadero de jeans protocolos cero",,"6/29/2020, 12:05:06 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",Escuela,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Lo justo y necesario,,"6/29/2020, 12:11:53 AM"
Mujer,Entre 46 y 55 años,Otra provincia,Tucumán,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Equipo técnico pedagogico del Ministerio de Educación,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Que hasta q no haya una vacuna o un tratamiento sólo de movilizarse lo escencial entre provincias,,"6/29/2020, 12:16:45 AM"
Mujer,Entre 46 y 55 años,Otra provincia,Corrientes ,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Licencia Extraordinaria obligatoria por personal con factor de riesgo,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Debería ser normal la circulación entre provincias sin circulacion viral comunitaria,,"6/29/2020, 12:30:30 AM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Hay que evitar los contagios,,"6/29/2020, 12:45:35 AM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Docente. Desde el 20 de marzo doy clases todos los dias por zoom. Soy una orgullosa docente de escuela publica.,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 12:50:55 AM"
Mujer,Entre 56 y 65 años,Otra provincia,Tucumán,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",Trabajo administrativo guardia ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,No deben liberar aún pues estamos comenzando el pico de la pandemia y es donde más nos debemos cuidar evitar la circulación ,,"6/29/2020, 1:32:09 AM"
Mujer,Entre 56 y 65 años,Otra provincia,Mendoza,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Docente,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Se esparce el virus,,"6/29/2020, 1:36:14 AM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",Personal escencial,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Perfecto,,"6/29/2020, 2:41:13 AM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",Industria alimentos,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Pueden llevar el virus donde no hay,,"6/29/2020, 2:54:14 AM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 3:29:53 AM"
Mujer,Entre 36 y 45 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",administro departamentos como  actividad principal y normalmente voy haciendo  otras cosas qye surgen que desde el 19 de marzo no puedo  hacer.  con los dptos trato de arreglarme  como puedo desde la compu pero son muchisimas las cosas que no se puede  y van quedando pendientes.  hasta  ya ni se cdo.  cada vez que surge un problema tampoco puedo ir a resolverlo porque estoy a 56 km de mi residencia habitual  me quede viviendo en del viso en la casa  familiar  con mis padres y mis mascotas.  pero normalmente  yo pasaba dias en capital  (porque la mayor parte de mi trabajo es en capital )y dias en del viso y ahora no puedo.  me quede  practicamente todo el tiempo aca en del viso solo fui una vez a fin de mayo por una perdida de agua  y a traer papeles.  y ahora  a fin de junio tendria que volver  a ir pero no se si podre. es muy angustiante no tener las minimas libertades.  mi vida es espantosa desde el 19 de marzo,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,entiendo  que las provincias no quieren que les aparezcan mas casos y la circulación  desparrama casis por todos lados.  pero deberia haber un sistema que genere seguridad pero permita al menos el paso de vez en cuando.  yo antes de esto creia que vivia en un pais libre y que podia elegir dentro del pais donde vivir  o pasar tiempo. y resulta que no es asi.  se cerraron como si fueran difrentes paises.   me desilusione mucho con la actidud de la mayoria de las provincias y de los pueblos pequeños.  como tratan a la gente que se enferma.  y como no atienden urgencias  de otras provincias aunque  no sea codvid.   los pueblos que estan en los limites de las provincias se atienden en las ciudades grandes mas cercanas muchas veces de la prov vecina.  y con esta pandemia se vio que no dejaban eso.   muy triste el actuar de la mayoría.  siempre estan tratando de culpar a quien lo trajo  como si alguna de esas  personas  fuera  la inventora del virus.    yo nunca mas voy a estar  tranquila en una sociedad asi.   porque siempre cdi uno se relaciona  con otro se corre rl riesgo de contagiarse algo y nunca habia visto este tipo de reacciones.   ,,"6/29/2020, 3:36:12 AM"
Mujer,Entre 56 y 65 años,Otra provincia,Mendoza,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Ama de casa sin ayuda de gobierno tengo incapacidad de trabajar ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,La gente no entiende que hay que cuidarse y protegernos entre nosotros,,"6/29/2020, 7:24:06 AM"
Mujer,Entre 56 y 65 años,Otra provincia,Río Negro,La cuarentena sigue siendo muy necesaria,"No, tuve que hacerlo de manera presencial",Trabajo en salud y continue trabajando en los dispositivos comunitarios....,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"Depende entre q provincias....nosotros no tenemos x ahora virus en algunas localidades de la provincia....en la misma, la circulación de personas es riesgosa",,"6/29/2020, 7:45:42 AM"
Mujer,Entre 56 y 65 años,Otra provincia,Santa Fe ,La cuarentena ya no es nada necesaria,"Si, pude hacerlo online",Soy docente,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,"Es necesario, tengo familiares que necesito verte estar",,"6/29/2020, 8:12:14 AM"
Mujer,Entre 56 y 65 años,Otra provincia,Tierra del Fuego.,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Terapista Ocupacional,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Es peligroso,,"6/29/2020, 8:36:39 AM"
Mujer,Entre 56 y 65 años,Otra provincia,Chaco,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",Mi trabajo pasa por tareas en la computadora. Recibo y contesto mails y watssap,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,"Hasta no implementar un sistema que determine quien esta portando el virus y quien no, no se debería hacer eso. Se corre mucho riesgo con los asintomáticos.",,"6/29/2020, 9:07:20 AM"
Mujer,Entre 56 y 65 años,Otra provincia,Misiones,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online","Soy docente y estoy trabajando en forma virtual, con libros de textos y un sin fin de actividades.",Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"No es buena la idea, hay gente que cumple estructamente la cuerentena y despues estan los irresponsale q no creen en la gravedad de este virus.",,"6/29/2020, 9:11:09 AM"
Mujer,Entre 46 y 55 años,Otra provincia,La Pampa,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Ama de casa,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"Me gustaría que sigamos sin trasladarnos de una pcia a otra, pero  en algunos casos la ley no estan pareja, eso molesta pq se pasan gente de una a otra como si nada!!",,"6/29/2020, 9:13:49 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 9:37:24 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",No soy escencial. No se autorizó mi actividad,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Evaluar casos. Hay personas a las que las agarró la cuarentena en otra parte,,"6/29/2020, 9:59:17 AM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 10:30:22 AM"
Mujer,Entre 46 y 55 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",docente universidad,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 10:49:09 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,Soy jubilada ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Se debería seguir restringiendo la circulación entre provincias.,,"6/29/2020, 10:54:01 AM"
Mujer,Entre 56 y 65 años,Otra provincia,Salta,La cuarentena ya no es nada necesaria,No trabajo ni estudio,,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 11:16:13 AM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial","Trabajo en salud,lic en obstetricia",Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 11:55:18 AM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 12:26:05 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",Ama de casa,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"A veces hace falta, ya que la gente necesita trabajar para llevar adelai su hogar",,"6/29/2020, 1:09:25 PM"
Mujer,Entre 36 y 45 años,Otra provincia,Tierra del Fuego ,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",Soy docente particular ,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,"En Ushuaia nos costó mucho tiempo y esfuerzo no tener más enfermos de Vivid,están llegando vuelos con gente supuestamente varada en Córdoba y Bs.As y estamos muy preocupados porque vienen de lugares con mucha circulación viral y hay muchas dudas que esos recién llegados cumplan con la cuarentena ",,"6/29/2020, 1:09:27 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Soy ama de casa . En trámites de divorcio . Y por la cuarentena . Tengo que seguir compartiendo la casa con mi ex . La estoy pasando horrible ,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Que se pueda circular con todas las precauciones . Y al que no las tomé . Que les pegue todo el peso de la ley .,,"6/29/2020, 1:15:15 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Ama de casa ,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,En estos momentos no creo que sea bueno ...se tendría que esperar hasta el verano ,,"6/29/2020, 1:46:54 PM"
Mujer,Entre 56 y 65 años,Otra provincia,ENTRE RÍOS ,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 1:49:16 PM"
Hombre,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, tuve que hacerlo de manera presencial",es igual a la pricion domiciliaria pero sin haber hecho nada.,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,o todas o ninguna,,"6/29/2020, 2:48:01 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Con controles y testeos si..... ,,"6/29/2020, 3:08:31 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Santa fe,La cuarentena ya no es nada necesaria,No trabajo ni estudio,Ama de casa,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,Restringir con Bs As,,"6/29/2020, 3:22:56 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,"Si, pude hacerlo online",Docente secundaria y universitaria ,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Respetando las normas sanitarias y en automóvil propio se podría viajar a otra provincia,,"6/29/2020, 3:28:15 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"No, tuve que hacerlo de manera presencial",Soy comerciante y pude abrir porque es venta de alimentos ,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Que se pueda circular con controles ,,"6/29/2020, 3:52:20 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"Si, pude hacerlo online",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 4:03:37 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena ya no es tan necesaria,No trabajo ni estudio,Desocupado,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,Es necesaria,,"6/29/2020, 4:08:18 PM"
Mujer,Entre 46 y 55 años,Otra provincia,Entre Ríos ,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,No debería ser con provincias donde hay muchos casos. Sí correspondería que se habilite la circulación entre ciudades de una misma provincia (aislando solo las ciudades que tengan casos). En mi caso particular llevo más de 100 días de cuarentena y en esta ciudad hasta el momento nunca hubo un caso,,"6/29/2020, 4:11:35 PM"
Mujer,Entre 56 y 65 años,Otra provincia,Chaco,La cuarentena sigue siendo algo necesaria,No trabajo ni estudio,Estoy tramitando mí jubilación. Ahora me dedico a tareas del hogar.,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,"Si se toman las medidas preventivas, si se cumplen, se puede circular, ya que se está perjudicando la economía de las personas, entre otras cosas.",,"6/29/2020, 5:00:00 PM"
Mujer,Entre 46 y 55 años,Otra provincia,Cordoba ,La cuarentena sigue siendo algo necesaria,"No, todavía no pude volver a hacerlo",Realizo trabajos temporario para una marca de bebes. Se cortó el trabajo.,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,No todas las provincias estan actuando con responsabilidad ante esta situación y perjudican al resto que si lo hacen.,,"6/29/2020, 6:05:37 PM"
Mujer,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",Reclutamiento de personal,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 6:10:33 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,Se podría circular entre provincias vecinas sin casos o con pocos casos en la situación actual de algunas regiones del país,,"6/29/2020, 6:13:48 PM"
Mujer,Entre 46 y 55 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 7:56:17 PM"
Mujer,Entre 36 y 45 años,Provincia de Buenos Aires,,La cuarentena sigue siendo algo necesaria,"Si, pude hacerlo online",,Estoy algo de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 8:00:50 PM"
Mujer,Entre 46 y 55 años,Otra provincia,Córdoba,La cuarentena ya no es tan necesaria,"No, todavía no pude volver a hacerlo",,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 8:02:43 PM"
Mujer,Entre 56 y 65 años,Ciudad Autónoma de Buenos Aires,,La cuarentena sigue siendo muy necesaria,No trabajo ni estudio,,Estoy algo en desacuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 8:05:20 PM"
Mujer,Entre 56 y 65 años,Provincia de Buenos Aires,,La cuarentena ya no es nada necesaria,"No, tuve que hacerlo de manera presencial",,Estoy muy de acuerdo con que se pueda volver a circular entre provincias,,,"6/29/2020, 8:54:34 PM"
Mujer,Entre 46 y 55 años,Provincia de Buenos Aires,,La cuarentena sigue siendo muy necesaria,"No, todavía no pude volver a hacerlo",Tengo 54 años y estoy feliz por keme jefa Poko para salir de primaria  es mí sueño empezar la secu  tengo sueños y se que puedo lograrlo gracias  amis propósito y al de mí seños Marianela lobato ami seno Monika  genial ami seño Silvana ami seño rivera Keno recuerdo tuve muy Poko tiempo fueron algunas maestras suplentes efectiva la seño Monika y seño  Marianela lobato  ellas me enseñaron kese puede lograr Loke uno desea y kenunka es tarde  kiciera lograr tener de ayuda una tablet para seguir con el estudio claro pero todavía mis deditos me Corven para contar  espero y si tener mí santificado   de estudios pero colo dela pandemia nos retrasamos un pokitin  pero es por vien nuestra salud vale mucho más conforme con el kedarte en casa,Estoy muy en desacuerdo con que se pueda volver a circular entre provincias,Solo se ketenermos que cuidar por ke sin salud nos dañamos todos ay gente que lucha por cuidarnos jefa en nosotros ASER lo correcto  sin salud no somos nada  creo en el kedarte en casa  ,,"6/29/2020, 9:26:25 PM"
